iso1,iso2,group,community
-27.5761,11.12271,2,11
-27.25368,11.52831,2,11
-27.9495,11.59118,2,11
-26.65251,11.27026,2,11
-28.88485,11.02865,2,11
-28.18454,11.07976,2,11
-28.34582,11.76397,2,11
-27.4470325,11.66067,2,11
-24.27203,11.90418,2,11
-26.89268,11.64064,2,11
-28.24306,11.09489,2,11
-27.32024,11.48707,2,11
-24.2638,12.28569,2,11
-28.01175,11.40809,2,11
-30.1707,10.47064,2,11
-26.38533,11.31884,2,11
-27.85438,11.38413,2,11
-27.78814,12.07366,2,11
-24.35539,12.03754,2,11
-27.85746,11.53137,2,11
-24.29628,11.91316,2,11
-26.33281,11.58751,2,11
-25.9326051,10.64887,2,11
-26.11727,11.11492,2,11
-28.73446,12.06005,2,11
-27.78012,11.43569,2,11
-24.61921,12.53674,2,11
-24.11415,13.37325,1,12
-24.97798,12.9284,1,12
-25.02318,13.57331,1,12
-26.30813,13.204,1,12
-21.76122,13.25844,1,12
-27.03143,13.01481,1,12
-21.57596,13.74638,1,12
-24.65599,12.17776,2,12
-24.19452,12.3747,2,12
-22.25556,13.0651,2,12
-25.08477,12.0505,2,12
-23.586767,12.63262,2,12
-24.0758,12.21369,2,12
-25.4994,11.96267,2,12
-22.84537,12.63899,2,12
-23.33501,12.61561,2,12
-20.94507,13.41583,2,12
-26.3578592,12.27056,2,12
-25.2373942,11.7067,2,12
-22.67575,14.66363,2,12
-25.87089,12.11626,2,12
-26.39684,11.70837,2,12
-25.59213,11.83522,2,12
-27.70053,11.82254,2,12
-26.16619,11.81917,2,12
-23.13759,12.84868,2,12
-30.05237,10.78959,2,12
-28.4001,10.89087,2,12
-25.61482,12.46433,2,12
-23.9711201,12.40421,2,12
-25.58704,12.45798,2,12
-27.34393,12.04658,2,12
-26.78476,11.54273,2,12
-25.76163,11.94915,2,12
-27.22734,11.95785,2,12
-28.01523,10.95306,2,12
-25.34449,12.52633,2,12
-30.07409,10.98855,2,12
-26.53776,12.14688,2,12
-21.01371,13.22046,2,12
-23.25158,12.14079,2,12
-23.32037,12.92041,2,12
-27.99737,11.48881,2,12
-24.89663,12.19136,2,12
-27.89463,11.70815,2,12
-26.02739,12.45592,2,12
-25.55648,11.41925,2,12
-26.66538,11.47743,2,12
-29.08706,11.3685,2,12
-24.71132,12.55469,2,12
-25.27334,12.39406,2,12
-27.72839,11.78461,2,12
-27.57237,11.92635,2,12
-26.88593,11.93634,2,12
-24.13148,13.23563,2,12
-24.06696,12.18393,2,12
-23.23073,12.69285,2,12
-26.16639,12.09021,2,12
-28.45585,11.35685,2,12
-23.01743,12.92069,2,12
-22.63369,12.88612,2,12
-26.70456,12.07568,2,12
-29.4416,11.76327,2,12
-24.27058,12.40763,2,12
-24.80105,12.39965,2,12
-24.70397,12.5946,2,12
-28.10343,10.85401,2,12
-25.42049,13.20842,2,12
-24.58235,12.90903,2,12
